CACM-0371	0.0
CACM-2903	0.0
CACM-3141	0.3333333333333333
CACM-2950	0.25
CACM-3043	0.4
CACM-2283	0.3333333333333333
CACM-2226	0.2857142857142857
CACM-3028	0.25
CACM-1623	0.2222222222222222
CACM-0069	0.2
CACM-3078	0.18181818181818182
CACM-2208	0.16666666666666666
CACM-1427	0.15384615384615385
CACM-1796	0.14285714285714285
CACM-1529	0.13333333333333333
CACM-2289	0.125
CACM-0409	0.11764705882352941
CACM-3048	0.1111111111111111
CACM-2884	0.10526315789473684
CACM-0046	0.1
CACM-1658	0.09523809523809523
CACM-1171	0.09090909090909091
CACM-2623	0.08695652173913043
CACM-2389	0.08333333333333333
CACM-2912	0.12
CACM-2819	0.11538461538461539
CACM-2890	0.1111111111111111
CACM-2627	0.10714285714285714
CACM-2519	0.10344827586206896
CACM-0961	0.1
CACM-2979	0.0967741935483871
CACM-1660	0.09375
CACM-1952	0.09090909090909091
CACM-3055	0.08823529411764706
CACM-0804	0.08571428571428572
CACM-2306	0.08333333333333333
CACM-2871	0.08108108108108109
CACM-2535	0.07894736842105263
CACM-2864	0.07692307692307693
CACM-0270	0.075
CACM-1551	0.07317073170731707
CACM-2843	0.07142857142857142
CACM-2997	0.06976744186046512
CACM-2924	0.06818181818181818
CACM-1282	0.06666666666666667
CACM-2324	0.06521739130434782
CACM-2520	0.06382978723404255
CACM-1736	0.0625
CACM-1931	0.061224489795918366
CACM-3151	0.06
CACM-0243	0.058823529411764705
CACM-2344	0.057692307692307696
CACM-0111	0.05660377358490566
CACM-2646	0.05555555555555555
CACM-0248	0.05454545454545454
CACM-1473	0.05357142857142857
CACM-1886	0.05263157894736842
CACM-1381	0.05172413793103448
CACM-2030	0.05084745762711865
CACM-0596	0.05
CACM-1099	0.04918032786885246
CACM-1870	0.04838709677419355
CACM-2572	0.047619047619047616
CACM-3166	0.046875
CACM-2342	0.06153846153846154
CACM-0595	0.06060606060606061
CACM-2268	0.05970149253731343
CACM-1423	0.058823529411764705
CACM-0335	0.057971014492753624
CACM-2267	0.05714285714285714
CACM-1003	0.056338028169014086
CACM-1160	0.05555555555555555
CACM-2490	0.0547945205479452
CACM-2907	0.05405405405405406
CACM-1738	0.05333333333333334
CACM-1928	0.05263157894736842
CACM-3059	0.05194805194805195
CACM-1353	0.05128205128205128
CACM-0893	0.05063291139240506
CACM-0086	0.05
CACM-2904	0.04938271604938271
CACM-0396	0.04878048780487805
CACM-2426	0.04819277108433735
CACM-2272	0.047619047619047616
CACM-0078	0.047058823529411764
CACM-2142	0.046511627906976744
CACM-2402	0.04597701149425287
CACM-2368	0.045454545454545456
CACM-2166	0.0449438202247191
CACM-0671	0.044444444444444446
CACM-1430	0.04395604395604396
CACM-2993	0.043478260869565216
CACM-1459	0.043010752688172046
CACM-2805	0.0425531914893617
CACM-1636	0.042105263157894736
CACM-1873	0.041666666666666664
CACM-1164	0.041237113402061855
CACM-1948	0.04081632653061224
CACM-1503	0.04040404040404041
CACM-0059	0.04
